article_source,article_canonique,mots_cles,compte_comptable,taux_tva,categorie,sous_categorie,type_fournisseur,partitions_sources,contexte_ape,quasi_match_1_label,quasi_match_1_partition,quasi_match_1_ape,quasi_match_1_score,quasi_match_1_overlap,quasi_match_1_invoice_ids,quasi_match_2_label,quasi_match_2_partition,quasi_match_2_ape,quasi_match_2_score,quasi_match_2_overlap,quasi_match_2_invoice_ids
BIG BAG 1T400 0/4 SABLE,big bag 1t400 0 4 sable,big | bag | 1t400 | 0 | 4 | sable,6022,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
BLOC CRX CE NF B40 500X200X200LUS,bloc crx ce nf b40 500x200x200lus,bloc | crx | ce | nf | b40 | 500x200x200lus,6061,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
BLOC CRX CH VRT CE NF 500X200X200,bloc crx ch vrt ce nf 500x200x200,bloc | crx | ch | vrt | ce | nf,6021,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
BROSSE PLATE BATIMENT 60,brosse plate batiment 60,brosse | plate | batiment | 60,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Balai coco 29 cm Novipro,balai coco 29 cm novipro,balai | coco | 29 | cm | novipro,6061,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
"Bastaing Sapin/Epicéa traité classe 2 63x160mm longueur 3,00m",bastaing sapin epicea traite classe 2 63x160mm longueur 3 00m,bastaing | sapin | epicea | traite | classe | 2,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Botte sécurité SAFETY T42,botte securite safety t42,botte | securite | safety | t42,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
Botte sécurité SAFETY T43,botte securite safety t43,botte | securite | safety | t43,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
Bottes de sécurité Panther S5 taille 42,bottes de securite panther s5 taille 42,bottes | securite | panther | s5 | taille | 42,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
CLOU TP LISSE 3.1X55MM 5KG,clou tp lisse 3 1x55mm 5kg,clou | tp | lisse | 3 | 1x55mm | 5kg,6061,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Cable accélérateur p/TM loche Mecanique,cable accelerateur p tm loche mecanique,cable | accelerateur | p | tm | loche | mecanique,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_903252617,4399C,,,,,,,,,,,,
Cheminement de cäbles CFO/CFA sur facade - Suivant CCTP,cheminement de cables cfo cfa sur facade suivant cctp,cheminement | cables | cfo | cfa | facade | suivant,6065,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
ECO PARTICIPATION ACIERS 0.014,eco participation aciers 0 014,eco | participation | aciers | 0 | 014,6058,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
GANT LATEX S/JERSEY COT BL ADH T10,gant latex s jersey cot bl adh t10,gant | latex | s | jersey | cot | bl,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
GRAVE 0/10 MM BIG BAG 3/4M3,grave 0 10 mm big bag 3 4m3,grave | 0 | 10 | mm | big | bag,6021,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Casque de chantier Océanic 2 RB40 taille 53-61 cm blanc,casque de chantier oceanic 2 rb40 taille 53 61 cm blanc,casque | chantier | oceanic | 2 | rb40 | taille,6062,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Luminaires au dessus des accés - Suivant CCTP,luminaires au dessus des acces suivant cctp,luminaires | dessus | acces | suivant | cctp,6065,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
Luminaires plafond des porches - Suivant CCTP,luminaires plafond des porches suivant cctp,luminaires | plafond | porches | suivant | cctp,6065,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
PLIAGE GALVA 15/10 EXCEDENTAIRE (PATTES ANTI RELEVE DETAIL 3 Long : 3000 Dev : 227,pliage galva 15 10 excedentaire pattes anti releve detail 3 long 3000 dev 227,pliage | galva | 15 | 10 | excedentaire | pattes,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
PLIAGE GALVA 15/10 EXCEDENTAIRE 30X30X30 Long : 4000 Dev : 90,pliage galva 15 10 excedentaire 30x30x30 long 4000 dev 90,pliage | galva | 15 | 10 | excedentaire | 30x30x30,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
PLIAGE GALVA 15/10 EXCEDENTAIRE OMEGA Long : 4000 Dev : 147,pliage galva 15 10 excedentaire omega long 4000 dev 147,pliage | galva | 15 | 10 | excedentaire | omega,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
PN CHANTIER INTERDIT 330X200 621209,pn chantier interdit 330x200 621209,pn | chantier | interdit | 330x200 | 621209,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
"Plaque de platre BA13 Placoflam A2 2,5x1,2m R=0,04 m2.k/w",plaque de platre ba13 placoflam a2 2 5x1 2m r 0 04 m2 k w,plaque | platre | ba13 | placoflam | a2 | 2,6061,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
TA-E 80X60 W0 GOUL DISTRI AU METRE,ta e 80x60 w0 goul distri au metre,ta | e | 80x60 | w0 | goul | distri,6061,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_844858571,4321A,,,,,,,,,,,,
Anémométre pour store - suivant CCTP,anemometre pour store suivant cctp,anemometre | store | suivant | cctp,6068,20.0,exploitation_metier,consommable_chantier,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
BAST SAP/EPI TRCL2 63X160 3M00,bast sap epi trcl2 63x160 3m00,bast | sap | epi | trcl2 | 63x160 | 3m00,6063,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
BOB. PROTECT. ULTIBAT 75M.,bob protect ultibat 75m,bob | protect | ultibat | 75m,6062,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
CONTRE PLAQUE FILME PLUS 15MM 250X125X15MM,contre plaque filme plus 15mm 250x125x15mm,contre | plaque | filme | plus | 15mm | 250x125x15mm,6061,20.0,exploitation_metier,matiere_premiere,fournisseur_materiaux,fr_bd_842785719,4399C,,,,,,,,,,,,
