article_source,normalized_label,invoice_count,line_occurrences,sample_account,predicted_sous_profil,predicted_nature_charge,predicted_profil_facturation,classification_reason,already_in_base,partitions
Prestation complément Bimpli+,prestation complement bimpli,13,15,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_880517875 | fr_bd_890233000
BANANE,banane,13,14,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_888020088 | fr_bd_890233000
Pantalon Saveur PC noir,pantalon saveur pc noir,13,14,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275
CARTH'AGRUME CITRON 1L,carth agrume citron 1l,13,13,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
COTIS. INTERP,cotis interp,13,13,6281,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_519665103 | fr_bd_837602275
CRISTALI 1.5L,cristali 1 5l,13,13,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000 | fr_bd_891370595
Commission Deliveroo - Prestation de services d'achat et de livraison d'aliments et de boissons,commission deliveroo prestation de services d achat et de livraison d aliments et de boissons,13,13,6226,transport_et_logistique,transport,prestation_ponctuelle,keyword_or_account:transport,False,fr_bd_929728467 | fr_bd_952061570
Contribution au Service Public de I'Electricité (csPE),contribution au service public de i electricite cspe,13,13,6351,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275
ECO-PARTICIPATION,eco participation,13,13,60610000,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999 | fr_bd_952061570
Forfait Espace client,forfait espace client,13,13,6061,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_837602275
Frais de Gestion Logistique,frais de gestion logistique,13,13,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
Frais fixes GARDE - GARDE,frais fixes garde garde,13,13,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
IOAFF - Interbev Ovin AM,ioaff interbev ovin am,13,13,6351,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
Interbev FR,interbev fr,13,13,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_903252617
JUS ORANGE PULPE RAUCH VP 24X20CL,jus orange pulpe rauch vp 24x20cl,13,13,6068,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_890233000
ORANGE GROSSE,orange grosse,13,13,601,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_880517875
PERRIER BOITE SLIM 33CL,perrier boite slim 33cl,13,13,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000 | fr_bd_891370595
Remise pro 4€/mois pdt 12 mois Livebox Pro Fibre,remise pro 4 mois pdt 12 mois livebox pro fibre,13,13,6061,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_832065999
Services divers,services divers,13,13,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000
communications vers l'international,communications vers l international,13,13,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_831060876 | fr_bd_839181104
Frais de transaction - Carte Bimpli (ex Apetiz) - 2nd génération,frais de transaction carte bimpli ex apetiz 2nd generation,12,24,62780000,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_837602275 | fr_bd_880517875 | fr_bd_890233000
Frais de transaction - 1ére génération (frais sur transaction déja réglé),frais de transaction 1ere generation frais sur transaction deja regle,12,17,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275 | fr_bd_880517875 | fr_bd_890233000
ABON CYBER MEDIUM,abon cyber medium,12,12,6278,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_844858571 | fr_bd_890233000 | fr_bd_903252617
Abonnement Acheminement,abonnement acheminement,12,12,6061,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_952061570
Abonnement Livebox Pro,abonnement livebox pro,12,12,6068,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_890233000
Abonnement permanent_ouvrage_VL_sans place réservée,abonnement permanent ouvrage vl sans place reservee,12,12,6288,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_890233000
Avantage Internet 60Go,avantage internet 60go,12,12,6226,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_839181104
Blouse porteur PC 50/50 blanc,blouse porteur pc 50 50 blanc,12,12,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275
COCA SANS SUCRES 33CL,coca sans sucres 33cl,12,12,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000 | fr_bd_891370595 | fr_bd_952061570
COTIS RYTHMEO,cotis rythmeo,12,12,6278,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_844858571 | fr_bd_890233000 | fr_bd_903252617
COTIS SECURIPRO,cotis securipro,12,12,6278,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_844858571 | fr_bd_890233000 | fr_bd_903252617
Conditionnement emballage (C.EMB),conditionnement emballage c emb,12,12,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275
Ecusson standard,ecusson standard,12,12,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275
FORFAIT FOURNITURES - Fourniture des accessoires nécessaire ci-dessous,forfait fournitures fourniture des accessoires necessaire ci dessous,12,12,6063,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_832065999
HUILE DE TOURNESOL BINGOIL 1L,huile de tournesol bingoil 1l,12,12,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_891370595
LAIT UHT 1/2 ECREME BRIQ PACK 12X1L,lait uht 1 2 ecreme briq pack 12x1l,12,12,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000
MC OLIV.VERTES RONDELLE A10,mc oliv vertes rondelle a10,12,12,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_890233000 | fr_bd_891370595
OEUFS FRAIS GM 63/73 X 360,oeufs frais gm 63 73 x 360,12,12,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
ORANGE FEUILLES,orange feuilles,12,12,601,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_890233000
Option Energie Verte,option energie verte,12,12,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_952061570
Participation-effort-environnement (PEE),participation effort environnement pee,12,12,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275
Prix de la course,prix de la course,12,12,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_844858571 | fr_bd_888020088 | fr_bd_952061570
REX BUCHERON SAC DE 25KG IREKS 111.3,rex bucheron sac de 25kg ireks 111 3,12,12,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
SMS/MMS vers l'international,sms mms vers l international,12,12,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_831060876 | fr_bd_839181104
Série Speciale B&YOU 200Go,serie speciale b you 200go,12,12,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_839181104
Taxe RSD,taxe rsd,12,12,6351,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_828612630 | fr_bd_837602275
Traitement bactériostatique (TBB),traitement bacteriostatique tbb,12,12,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275
ABATS + INTERBEV,abats interbev,11,11,6011,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
ABRICOT OREILLONS 3/1 BROVER,abricot oreillons 3 1 brover,11,11,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Assurance modification/trajet perturbé,assurance modification trajet perturbe,11,11,616000,assurances,prime,prime_et_periode,keyword_or_account:assurance,False,fr_bd_844858571
Course Uber,course uber,11,11,6226,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_823981568 | fr_bd_952061570
IOAUF - Interbev Ovin AM,ioauf interbev ovin am,11,11,6351,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
Interbev Boeuf MG,interbev boeuf mg,11,11,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_837602275
LAIT 1/2 ECREME FRANCAIS X6 UHT,lait 1 2 ecreme francais x6 uht,11,11,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
POMME DE TERRE GRATIN DAUPHINOIS,pomme de terre gratin dauphinois,11,11,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_828612630 | fr_bd_837602275
Sac a linge bleu fermeture sangle,sac a linge bleu fermeture sangle,11,11,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275
Service de livraison,service de livraison,11,11,6226,transport_et_logistique,transport,prestation_ponctuelle,keyword_or_account:transport,False,fr_bd_839181104 | fr_bd_929728467 | fr_bd_952061570
Services,services,11,11,606100,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875 | fr_bd_890233000
Composante de comptage - Echu,composante de comptage echu,10,11,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275 | fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
Composante de gestion - Echu,composante de gestion echu,10,11,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275 | fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
Composante de soutirage fixe - Echu,composante de soutirage fixe echu,10,11,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275 | fr_bd_880517875 | fr_bd_890233000 | fr_bd_915197842
Acheminement et Utilisation du réseau de distribution électricité et prestations techniques,acheminement et utilisation du reseau de distribution electricite et prestations techniques,10,10,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
COTIS CARTE VISA BUSINESS,cotis carte visa business,10,10,6278,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_844858571 | fr_bd_890233000 | fr_bd_903252617
COTIS FRUCTI FACIL PLUS,cotis fructi facil plus,10,10,627800,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_844858571 | fr_bd_903252617
Forfait 150 Go 5G,forfait 150 go 5g,10,10,606100,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_842785719
Frais de livraison TTC,frais de livraison ttc,10,10,624,transport_et_logistique,transport,prestation_ponctuelle,keyword_or_account:transport,False,fr_bd_832065999
Frais de rejet de prélèvement,frais de rejet de prelevement,10,10,6278,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_831060876 | fr_bd_837602275 | fr_bd_839181104 | fr_bd_952061570
LAIT FERMENTE CHERGUI 10 X 1L,lait fermente chergui 10 x 1l,10,10,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_519665103 | fr_bd_828612630 | fr_bd_837602275
"Mise en place d'une trame en fibre de verre anti alcalin référencé ""Sto-Fibre"". Référence : Sto-Fibre ou équivalent.",mise en place d une trame en fibre de verre anti alcalin reference sto fibre reference sto fibre ou equivalent,10,10,6063,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_832065999
Option Anti-spam,option anti spam,10,10,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_832065999 | fr_bd_842785719 | fr_bd_929728467
Option Week-end internet illimité,option week end internet illimite,10,10,6226,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_831060876
Parking,parking,10,10,6226,entretien_et_maintenance,entretien,intervention_ponctuelle,keyword_or_account:entretien,False,fr_bd_832065999 | fr_bd_839181104 | fr_bd_844858571
Prix du service de transport,prix du service de transport,10,10,6226,transport_et_logistique,transport,prestation_ponctuelle,keyword_or_account:transport,False,fr_bd_823981568 | fr_bd_952061570
Revenus en titre-restaurant,revenus en titre restaurant,10,10,6227,cotisations_professionnelles,cotisation,cotisation_ou_forfait,keyword_or_account:cotisation,False,fr_bd_929728467
SAUMON FUME TRANCHE 800G,saumon fume tranche 800g,10,10,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Sac textile elis orange polyester,sac textile elis orange polyester,10,10,6068,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_828612630 | fr_bd_837602275
Tablier boucher bretelle PC 50/50 blanc,tablier boucher bretelle pc 50 50 blanc,10,10,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275
Tapis 85*150 paysage gris BOUCHERIE,tapis 85 150 paysage gris boucherie,10,10,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275
VANILLE AROME ARTIFICIEL PET 1L,vanille arome artificiel pet 1l,10,10,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_880517875
Veste H Saveurs PC jeans noir,veste h saveurs pc jeans noir,10,10,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_837602275
"COM INTERV PRELEVEMENT (eX0) (8,75 EUR *)",com interv prelevement ex0 8 75 eur,9,14,62780000,frais_administratifs_et_bancaires,frais,forfait_ou_frais,keyword_or_account:administratif,False,fr_bd_880517875
ORANGE A JUS PDP FILET 2KG,orange a jus pdp filet 2kg,9,10,606100,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_832065999 | fr_bd_890233000
Abonnement Badge VINCI,abonnement badge vinci,9,9,6063,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_837602275
Avantage SFR Family! - Contrôle parental,avantage sfr family controle parental,9,9,606100,telecom_et_abonnements,abonnement,abonnement_et_consommation,keyword_or_account:telecom,False,fr_bd_842785719
COCA COLA VC 33CL,coca cola vc 33cl,9,9,6061,energie_electricite,energie,abonnement_et_consommation,keyword_or_account:electricite,False,fr_bd_952061570
